测试脚本名称,性能检查点, 标准时间,超时标准,超时上限,竞品值,容忍值,业务场景,实测值,结果,是否达标
6W_关键指标性能保护230320,高频_尺寸标注（拖动文字）,0.15,绝对值,0.3,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_撤销尺寸标注（文字拖动）,0.4,绝对值,0.45,0.3,0.3,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_首次绘制填充开始,0.2,绝对值,0.3,0.3,0.3,1,0.218,正常,达标
6W_关键指标性能保护230320,高频_首次绘制填充结束,0.15,绝对值,0.3,0.3,0.3,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_二次编辑填充（进入编辑）,0.4,绝对值,0.5,0.3,0.5,1,0.36,提升,达标
6W_关键指标性能保护230320,高频_二次编辑填充（结束编辑）,0.2,绝对值,0.4,0.4,0.4,1,0.219,正常,达标
6W_关键指标性能保护230320,高频_梁标签挪动（原位跨）,0.2,绝对值,0.3,0.3,0.3,1,0.141,提升,达标
6W_关键指标性能保护230320,高频_梁标签挪动（原位不跨）,0.15,绝对值,0.2,0.3,0.3,1,0.141,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签挪动1（原位不跨）,0.3,绝对值,0.35,0.3,0.2,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签挪动2（原位跨）,0.35,绝对值,0.4,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_梁标签挪动（集中不跨）,0.15,绝对值,0.2,0.3,0.15,1,0.062,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签挪动3(集中),0.3,绝对值,0.35,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_梁标签文字编辑（进入编辑模式）,0.15,绝对值,0.3,0.3,0.3,1,0.125,提升,达标
6W_关键指标性能保护230320,高频_梁标签文字编辑（结束编辑模式）,0.2,绝对值,0.3,0.3,0.3,1,0.125,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签文字编辑,0.3,绝对值,0.3,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_柱标签挪动,0.2,绝对值,0.3,0.3,0.3,1,0.156,提升,达标
6W_关键指标性能保护230320,高频_撤销柱标签挪动,0.4,绝对值,0.45,0.3,0.3,1,0.125,提升,达标
6W_关键指标性能保护230320,高频_柱标签文字编辑（进入编辑模式）,0.15,绝对值,0.3,0.3,0.3,1,0.078,提升,达标
6W_关键指标性能保护230320,高频_柱标签文字编辑（结束编辑模式）,0.1,绝对值,0.3,0.3,0.3,1,0.125,正常,达标
6W_关键指标性能保护230320,高频_撤销柱标签文字编辑,0.4,绝对值,0.45,0.3,0.3,1,0.125,提升,达标
6W_设置等其他操作性能保护230330,高频_首次打开工作单元时间（有缓存）,19.0,百分比,0.2,15.4,40,1,13.546,提升,达标
6W_设置等其他操作性能保护230330,创建局部三维视图,0.1,绝对值,20.0,1.75,0.2,1,0.078,提升,达标
6W_设置等其他操作性能保护230330,初次打开立面视图,3.5,百分比,0.2,1.5,1.5,1,1.672,提升,不达标
6W_设置等其他操作性能保护230330,初次打开剖面视图,2.0,百分比,0.2,1.5,1.5,1,1.047,提升,达标
6W_设置等其他操作性能保护230330,初次打开三维视图,4.0,百分比,0.2,3.7,3.7,1,2.407,提升,达标
6W_设置等其他操作性能保护230330,三维视图-拖拉剖切框,0.5,百分比,0.2,1.65,0.6,1,0.328,提升,达标
6W_设置等其他操作性能保护230330,旋转三维视图,0.15,绝对值,0.2,438.1,0.3,1,0.047,提升,达标
6W_设置等其他操作性能保护230330,切换线宽模式,2.0,百分比,0.2,NULL,0.5,1,0.234,提升,达标
6W_设置等其他操作性能保护230330,切换视图比例,6.5,百分比,0.2,66,15,1,6.437,正常,达标
6W_设置等其他操作性能保护230330,切换视图-首次切换,0.6,百分比,0.3,1.09,1,1,0.562,正常,达标
6W_设置等其他操作性能保护230330,打开视图对象样式设置对话框,0.6,百分比,0.2,0.3,0.3,1,0.5,正常,不达标
